id,region,group,count
1,ACC,Lesion_Novel,576.6155744693095
1,PRL,Lesion_Novel,482.2943587229792
1,DPC,Lesion_Novel,452.93533620069104
1,IFC,Lesion_Novel,431.19485462611186
1,M2C,Lesion_Novel,370.77875639443715
1,VDG,Lesion_Novel,260.56887730206967
1,VCA3,Lesion_Novel,334.550342992103
1,VSUB,Lesion_Novel,260.1893994050905
1,PRH,Lesion_Novel,385.80052976043436
1,DSUB,Lesion_Novel,217.00114031091135
1,TE2,Lesion_Novel,405.1601630176838
1,VOC,Lesion_Novel,265.7090440701125
1,MOC,Lesion_Novel,313.7061201841345
1,DDG,Lesion_Novel,201.58456739644686
1,DCA3,Lesion_Novel,142.74420647683036
1,DCA1,Lesion_Novel,185.27800031544007
1,IDG,Lesion_Novel,609.2236337555024
1,ICA1,Lesion_Novel,308.3735778609904
1,ICA3,Lesion_Novel,529.6316520102525
1,VCA1,Lesion_Novel,260.8983059628538
1,V2C,Lesion_Novel,515.8077685366738
1,LENT,Lesion_Novel,175.42967202924652
1,PSTC,Lesion_Novel,367.9011235583317
2,VDG,Sham_Novel,367.8596882096637
2,VCA3,Sham_Novel,281.10289765581024
2,PRH,Sham_Novel,473.26226944519345
2,TE2,Sham_Novel,442.04817379588434
2,IDG,Sham_Novel,474.31883419405233
2,ICA1,Sham_Novel,481.3512394298016
2,ICA3,Sham_Novel,445.1273546668542
2,VCA1,Sham_Novel,549.7237539170476
2,V2C,Sham_Novel,445.0602414868825
3,ACC,Lesion_Familiar,699.5945094691563
3,PRL,Lesion_Familiar,780.865575936415
3,DPC,Lesion_Familiar,604.4247984226505
3,IFC,Lesion_Familiar,680.4562679138861
3,M2C,Lesion_Familiar,494.5084386452922
3,VDG,Lesion_Familiar,336.2128232352304
3,VCA3,Lesion_Familiar,418.4494116242408
3,VSUB,Lesion_Familiar,251.03482997996528
3,PRH,Lesion_Familiar,329.26261922118397
3,TE2,Lesion_Familiar,282.64529072113163
3,DDG,Lesion_Familiar,389.0330056910384
3,DCA3,Lesion_Familiar,250.56643466103247
3,DCA1,Lesion_Familiar,378.4764581006902
3,IDG,Lesion_Familiar,391.01145829720383
3,ICA1,Lesion_Familiar,324.39430187035435
3,ICA3,Lesion_Familiar,278.052481801614
3,VCA1,Lesion_Familiar,500.2036758213305
3,V2C,Lesion_Familiar,1009.5704614172447
